unique,sampling_year_yyyy,site_size_ha,site_code_abcd,site_name
2021 ROIS,2021,9.2,ROIS,Red Oak - Ironwood Savannah
2021 DCSD,2021,10.2,DCSD,Dry Cottonwood Sand Dune
2021 IDSS,2021,10.9,IDSS,Intergrading Dune - Swale Savannah
2021 TMSL,2021,11,TMSL,Tamarack Slough
2021 DCJS,2021,11.3,DCJS,Dry Cottonwood - Juniper Savannah
2021 ROWP,2021,11.4,ROWP,Red Oak - White Pine Savannah
2021 ROMF,2021,12.5,ROMF,Red Oak - Sugar Maple Forest
2021 WPWC,2021,12.8,WPWC,White Pine - White Cedar Savannah
2021 RARO,2021,13.1,RARO,Red Ash - Red Oak Savannah
2021 SRS1,2021,13.6,SRS1,Sedge - Rush Swale #1
2021 BGGR,2021,13.7,BGGR,Bluegrass - Milkweed Grassland
2021 SRS2,2021,14.6,SRS2,Sedge - Rush Swale #2
2021 STDP,2021,15,STDP,Sedge - Tamarack Dune Pond
