sampleyear,sitecode,speciescode,territoryabundance,territorybiomass,sitetype,sitesize,woodcountbelowbrowse,woodcountabovebrowse
1993,IDSS,KILL,2,117.25038,terrestrial,10.9,990,3
1993,IDSS,RWBL,9,522.17937,terrestrial,10.9,990,3
1993,IDSS,SOSP,4,82.73836,terrestrial,10.9,990,3
1993,IDSS,SPSA,1,40.65034,terrestrial,10.9,990,3
1993,IDSS,TRES,14.5,312.455425,terrestrial,10.9,990,3
1995,IDSS,BHCO,2,92.66916,terrestrial,10.9,1383,3
1995,IDSS,CHSP,5,60.9241,terrestrial,10.9,1383,3
1995,IDSS,COGR,1,110.557,terrestrial,10.9,1383,3
1995,IDSS,EAKI,2,79.009,terrestrial,10.9,1383,3
1995,IDSS,EUST,6,462.40626,terrestrial,10.9,1383,3
1995,IDSS,FISP,3,36.10554,terrestrial,10.9,1383,3
1995,IDSS,NHWR,2.5,26.682875,terrestrial,10.9,1383,3
1995,IDSS,KILL,2,117.25038,terrestrial,10.9,1383,3
1995,IDSS,NRWS,2,32.30788,terrestrial,10.9,1383,3
1995,IDSS,RWBL,2,116.03986,terrestrial,10.9,1383,3
1995,IDSS,SOSP,5.5,113.765245,terrestrial,10.9,1383,3
1995,IDSS,SPSA,2,81.30068,terrestrial,10.9,1383,3
1995,IDSS,TRES,22,474.0703,terrestrial,10.9,1383,3
1997,IDSS,BHCO,1,46.33458,terrestrial,10.9,614,4
1997,IDSS,BRTH,1,68.09446,terrestrial,10.9,614,4
1997,IDSS,CHSP,4,48.73928,terrestrial,10.9,614,4
1997,IDSS,EAKI,1.5,59.25675,terrestrial,10.9,614,4
1997,IDSS,EUST,1,77.06771,terrestrial,10.9,614,4
1997,IDSS,FISP,5,60.1759,terrestrial,10.9,614,4
1997,IDSS,NHWR,1.5,16.009725,terrestrial,10.9,614,4
1997,IDSS,KILL,1,58.62519,terrestrial,10.9,614,4
1997,IDSS,NOMO,1,48.04713,terrestrial,10.9,614,4
1997,IDSS,RWBL,10,580.1993,terrestrial,10.9,614,4
1997,IDSS,SOSP,6,124.10754,terrestrial,10.9,614,4
1997,IDSS,SPSA,1,40.65034,terrestrial,10.9,614,4
1997,IDSS,TRES,19,409.42435,terrestrial,10.9,614,4
2003,IDSS,BHCO,1,46.33458,terrestrial,10.9,88,5
2003,IDSS,BRTH,5,340.4723,terrestrial,10.9,88,5
2003,IDSS,CHSP,6,73.10892,terrestrial,10.9,88,5
2003,IDSS,COGR,2,221.114,terrestrial,10.9,88,5
2003,IDSS,COYE,0.5,5.227835,terrestrial,10.9,88,5
2003,IDSS,EAKI,3,118.5135,terrestrial,10.9,88,5
2003,IDSS,EUST,2,154.13542,terrestrial,10.9,88,5
2003,IDSS,NHWR,1,10.67315,terrestrial,10.9,88,5
2003,IDSS,KILL,5,293.12595,terrestrial,10.9,88,5
2003,IDSS,MODO,2,263.0432,terrestrial,10.9,88,5
2003,IDSS,NOMO,2.5,120.117825,terrestrial,10.9,88,5
2003,IDSS,RWBL,1,58.01993,terrestrial,10.9,88,5
2003,IDSS,SOSP,3,62.05377,terrestrial,10.9,88,5
2003,IDSS,TRES,10.5,226.260825,terrestrial,10.9,88,5
2003,IDSS,WAVI,2,26.94402,terrestrial,10.9,88,5
2003,IDSS,YEWA,0.5,4.866441,terrestrial,10.9,88,5
2004,IDSS,BRTH,2,136.18892,terrestrial,10.9,152,4
2004,IDSS,CHSP,7,85.29374,terrestrial,10.9,152,4
2004,IDSS,COGR,2,221.114,terrestrial,10.9,152,4
2004,IDSS,EAKI,2.5,98.76125,terrestrial,10.9,152,4
2004,IDSS,EUST,1,77.06771,terrestrial,10.9,152,4
2004,IDSS,EWPW,1,53.4,terrestrial,10.9,152,4
2004,IDSS,FISP,2,24.07036,terrestrial,10.9,152,4
2004,IDSS,NHWR,2,21.3463,terrestrial,10.9,152,4
2004,IDSS,KILL,2,117.25038,terrestrial,10.9,152,4
2004,IDSS,MODO,2,263.0432,terrestrial,10.9,152,4
2004,IDSS,NOMO,2,96.09426,terrestrial,10.9,152,4
2004,IDSS,TRES,10.5,226.260825,terrestrial,10.9,152,4
2006,IDSS,BRTH,2.5,170.23615,terrestrial,10.9,235,4
2006,IDSS,CHSP,5,60.9241,terrestrial,10.9,235,4
2006,IDSS,COGR,2.5,276.3925,terrestrial,10.9,235,4
2006,IDSS,EAKI,2.5,98.76125,terrestrial,10.9,235,4
2006,IDSS,FISP,4,48.14072,terrestrial,10.9,235,4
2006,IDSS,GRCA,1,35.68485,terrestrial,10.9,235,4
2006,IDSS,NHWR,2,21.3463,terrestrial,10.9,235,4
2006,IDSS,MODO,2,263.0432,terrestrial,10.9,235,4
2006,IDSS,NOMO,2.5,120.117825,terrestrial,10.9,235,4
2006,IDSS,RWBL,1.5,87.029895,terrestrial,10.9,235,4
2006,IDSS,TRES,9.5,204.712175,terrestrial,10.9,235,4
2008,IDSS,AMRO,1.5,117.13602,terrestrial,10.9,394,4
2008,IDSS,AMWO,1,161.1656,terrestrial,10.9,394,4
2008,IDSS,BRTH,2,136.18892,terrestrial,10.9,394,4
2008,IDSS,CHSP,5.5,67.01651,terrestrial,10.9,394,4
2008,IDSS,COGR,1,110.557,terrestrial,10.9,394,4
2008,IDSS,EAKI,2,79.009,terrestrial,10.9,394,4
2008,IDSS,EUST,2,154.13542,terrestrial,10.9,394,4
2008,IDSS,EWPW,1,53.4,terrestrial,10.9,394,4
2008,IDSS,FISP,5,60.1759,terrestrial,10.9,394,4
2008,IDSS,GRCA,2,71.3697,terrestrial,10.9,394,4
2008,IDSS,NHWR,3,32.01945,terrestrial,10.9,394,4
2008,IDSS,KILL,2,117.25038,terrestrial,10.9,394,4
